combination,accuracy
"('Day', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5068967906337228, 0.005396815031509787]"
"('Year', 'Day', 'Hour', 'channel')","[0.5068422714669119, 0.0035887789678861397]"
"('Year', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.5067129198449186, 0.005860723931019243]"
"('Month', 'img_count', 'content_len')","[0.5067107222054243, 0.005242447807484022]"
"('Weekday', 'content_len', 'channel')","[0.5066964666755285, 0.008796435433871916]"
"('Year', 'img_count', 'title_bit_count')","[0.5066833739556874, 0.0082292754718279]"
"('Year', 'link_count', 'title_word_count', 'title_bit_count')","[0.506587897119241, 0.004065065258787353]"
"('Day', 'img_count', 'content_len', 'channel')","[0.5065579041698711, 0.006227740994740226]"
"('content_len', 'link_count', 'title_word_count', 'channel')","[0.50654121893889, 0.0071278766091670805]"
"('Day', 'img_count', 'title_bit_count', 'channel')","[0.506537994631268, 0.00696726619562544]"
"('Year', 'Day', 'link_count', 'title_bit_count')","[0.506471331860743, 0.0050273752171514025]"
"('Day', 'content_len', 'link_count', 'title_word_count', 'channel')","[0.5063904828238488, 0.0022477329422023852]"
"('Year', 'Hour', 'title_word_count', 'channel')","[0.5063615942410781, 0.007663595217538991]"
"('Hour', 'img_count', 'content_len', 'title_bit_count')","[0.5063373544484611, 0.006412811020934691]"
"('Hour', 'img_count', 'title_word_count', 'title_bit_count')","[0.5063372416973924, 0.004128220786277314]"
"('Day', 'Hour', 'link_count', 'title_word_count', 'channel')","[0.506335331640152, 0.004918313300411421]"
"('Hour', 'title_word_count')","[0.5063235907528508, 0.00445056419159248]"
"('Year', 'Day', 'Hour', 'img_count', 'content_len')","[0.5063233665787398, 0.008731167894367849]"
"('Day', 'Hour', 'img_count')","[0.5062556954384189, 0.002982475343761165]"
"('Year', 'link_count', 'title_bit_count')","[0.5062026969785093, 0.005252743594305523]"
"('Year', 'Hour', 'link_count', 'title_word_count', 'title_bit_count')","[0.5061953252186486, 0.0030109994381046644]"
"('Year', 'Hour', 'content_len', 'title_word_count', 'channel')","[0.5061708895710361, 0.0036670021717466906]"
"('Year', 'Hour', 'title_word_count')","[0.5061378737317458, 0.005113153813885464]"
"('Year', 'Day', 'content_len')","[0.5061053765562427, 0.004194295997041119]"
"('Hour', 'title_bit_count', 'channel')","[0.5060794748201948, 0.005332604751397085]"
"('Year', 'img_count', 'link_count', 'title_word_count', 'title_bit_count')","[0.5060329233860494, 0.011087061579813772]"
"('Year', 'Hour', 'img_count', 'content_len', 'link_count')","[0.5059984950634292, 0.008587223328815917]"
"('Hour', 'img_count', 'content_len')","[0.5059684311995556, 0.005408640795574477]"
"('Year', 'Day', 'link_count', 'title_bit_count', 'channel')","[0.5059586687877492, 0.004805631175329877]"
"('Hour', 'content_len', 'title_word_count', 'title_bit_count')","[0.5059573960026787, 0.003143398992245474]"
"('Day', 'Hour', 'title_word_count', 'channel')","[0.5058965318637577, 0.007641487258907773]"
"('Year', 'Hour', 'title_word_count', 'title_bit_count')","[0.5058639375051269, 0.004893991491720973]"
"('Year', 'Hour', 'content_len', 'title_word_count')","[0.5058377619825958, 0.0065434530074176146]"
"('Day', 'Hour', 'img_count', 'link_count', 'title_word_count')","[0.5058192403282302, 0.004229333930743606]"
"('Day', 'content_len', 'title_word_count', 'channel')","[0.505782934195602, 0.003492391991199168]"
"('Day', 'title_word_count', 'title_bit_count')","[0.5057746303336534, 0.0040602250888478]"
"('Day', 'Hour', 'img_count', 'content_len')","[0.5057707715244631, 0.007994991648873151]"
"('Weekday', 'Year', 'content_len', 'link_count')","[0.5057530477469403, 0.0079109579254584]"
"('Year', 'Day', 'title_bit_count', 'channel')","[0.5057063789639932, 0.0094954200037039]"
"('Year', 'Day', 'img_count', 'content_len', 'title_bit_count')","[0.5057060100056633, 0.007751878007414179]"
"('Year', 'Hour', 'link_count', 'channel')","[0.5056896717870836, 0.0068290909428497535]"
"('Weekday', 'img_count', 'link_count', 'title_word_count')","[0.5056805092944792, 0.004640464473031187]"
"('Year', 'Day', 'content_len', 'channel')","[0.5056392016770082, 0.009409714589464973]"
"('Year', 'link_count', 'channel')","[0.5056045210451009, 0.005948903675849804]"
"('Day', 'title_bit_count')","[0.5055931287236545, 0.004874912514263575]"
"('Day', 'link_count', 'title_bit_count')","[0.5055431572629945, 0.004580135030936793]"
"('Year', 'Day', 'img_count', 'content_len', 'link_count')","[0.5055260562100574, 0.005155293594864285]"
"('Year', 'img_count', 'link_count')","[0.5054439664175808, 0.003816096280973109]"
"('Year', 'title_word_count', 'title_bit_count')","[0.5053771656569097, 0.005791691298062049]"
"('Year', 'Day', 'title_word_count', 'title_bit_count')","[0.5052010551307349, 0.004477501612177284]"
"('Year', 'Hour', 'img_count', 'content_len', 'title_word_count')","[0.5051118168443182, 0.004724917646183181]"
"('Day', 'link_count', 'title_word_count', 'title_bit_count')","[0.5051040905456547, 0.004880023168448167]"
"('Year', 'Day', 'link_count')","[0.5050745246672996, 0.007106375189629459]"
"('Day', 'img_count', 'content_len', 'title_bit_count', 'channel')","[0.505020030983284, 0.010369581542959394]"
"('Hour', 'content_len', 'title_word_count', 'channel')","[0.5049839115761602, 0.0022551608729063956]"
"('Year', 'link_count')","[0.5049218416452935, 0.0029766107098795204]"
"('Day', 'img_count', 'content_len', 'link_count', 'title_word_count')","[0.5049137225908708, 0.006805650754935974]"
"('Day', 'Hour')","[0.504768732655956, 0.004546876278966886]"
"('img_count', 'content_len', 'link_count', 'channel')","[0.5047492172887691, 0.0049051777712648134]"
"('Year', 'Day', 'Hour', 'title_word_count', 'title_bit_count')","[0.5047074450290596, 0.005149984732009925]"
"('content_len', 'link_count', 'title_word_count', 'title_bit_count')","[0.5046789671394302, 0.005931957812258719]"
"('content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.504631881612174, 0.007421170557214266]"
"('Year', 'Day', 'Hour', 'content_len', 'title_bit_count')","[0.5045208057450612, 0.005512714936565684]"
"('Year', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5044709088794347, 0.0035552620338008033]"
"('content_len', 'link_count', 'title_bit_count', 'channel')","[0.5043594865845764, 0.006133437840306755]"
"('Year', 'Hour', 'content_len', 'channel')","[0.5043514869097824, 0.004533958234943203]"
"('Day', 'Hour', 'content_len', 'link_count', 'title_word_count')","[0.5043433713307893, 0.005212241957095289]"
"('Year', 'Hour', 'link_count', 'title_word_count', 'channel')","[0.5043406060023023, 0.005209765009502109]"
"('Year', 'Day', 'link_count', 'title_word_count', 'title_bit_count')","[0.5043259076795105, 0.005890604970482636]"
"('Year', 'Day', 'Hour', 'link_count')","[0.5042917174772297, 0.009797988162380316]"
"('Year', 'img_count', 'content_len')","[0.5042283257449156, 0.005413303212591475]"
"('title_bit_count',)","[0.5041487159258969, 0.008350325826834933]"
"('Year', 'Day', 'Hour', 'title_word_count')","[0.5041267493432106, 0.00229220264638]"
"('Year', 'Day', 'content_len', 'title_bit_count')","[0.5040699091425932, 0.010186144962760728]"
"('Year', 'img_count', 'content_len', 'title_word_count')","[0.5040461632512866, 0.0032352962538125694]"
"('Year', 'img_count', 'content_len', 'channel')","[0.5040279853554763, 0.0026651185749314603]"
"('Year', 'Hour', 'content_len', 'link_count')","[0.5039988160899691, 0.006371361364840796]"
"('Year', 'Hour', 'img_count', 'content_len')","[0.50398202914843, 0.0037614057941954128]"
"('Hour', 'content_len', 'link_count', 'title_bit_count')","[0.5039574706641747, 0.007772630556227013]"
"('Hour', 'title_word_count', 'channel')","[0.503856710389529, 0.006188911192933436]"
"('Weekday', 'content_len', 'link_count')","[0.5038185705906381, 0.005767467308151696]"
"('Day', 'Hour', 'content_len', 'link_count', 'channel')","[0.5038050896737417, 0.007766068309570383]"
"('Hour', 'img_count')","[0.5036615604766048, 0.004167406460835041]"
"('Day', 'img_count', 'content_len', 'title_bit_count')","[0.5034099972424471, 0.007259044833029143]"
"('Hour', 'content_len', 'channel')","[0.5032829089284737, 0.0039976482114059166]"
"('link_count', 'title_bit_count')","[0.5032674581772557, 0.004885581538118781]"
"('Day', 'Hour', 'link_count', 'title_word_count', 'title_bit_count')","[0.5031508013037488, 0.004927432480525606]"
"('Year', 'Hour', 'content_len', 'title_word_count', 'title_bit_count')","[0.5031420683659612, 0.005017930565003909]"
"('Year', 'Hour', 'img_count', 'link_count')","[0.5030956992453263, 0.0036355654488794678]"
"('Hour',)","[0.5030732978850097, 0.004278087960191533]"
"('Day', 'content_len', 'title_bit_count')","[0.5030211902305636, 0.005653765879441875]"
"('Hour', 'content_len', 'link_count', 'title_word_count', 'channel')","[0.5030176222602942, 0.004120593220276861]"
"('Month', 'content_len')","[0.5029791673915318, 0.009078279135764327]"
"('Year', 'Hour', 'content_len')","[0.5029271819022818, 0.005662259866937067]"
"('Day', 'Hour', 'link_count', 'title_word_count')","[0.5027848367767093, 0.005820691589123326]"
"('Hour', 'content_len', 'link_count', 'title_word_count', 'title_bit_count')","[0.5027201158857009, 0.003710070235865068]"
"('Year', 'img_count', 'title_word_count', 'title_bit_count')","[0.5025555896869411, 0.006045547107830833]"
"('Year', 'Hour', 'content_len', 'link_count', 'title_word_count')","[0.5024659626450789, 0.0063968550846975015]"
"('Year', 'Day', 'Hour', 'content_len', 'title_word_count')","[0.502404265064495, 0.0021123945495974002]"
"('Day', 'Hour', 'title_word_count')","[0.5023954895358116, 0.0021213652300538736]"
"('img_count', 'link_count')","[0.5022261554795945, 0.0020485545375178433]"
"('Day', 'title_bit_count', 'channel')","[0.5022043978530245, 0.009103454371649162]"
"('Year', 'Hour', 'content_len', 'link_count', 'channel')","[0.5021903587940736, 0.003918009696389058]"
"('Year', 'Day', 'Hour')","[0.5021763177175934, 0.006776298308836041]"
"('Year', 'content_len', 'title_word_count')","[0.5021530789184041, 0.004334344887674662]"
"('img_count', 'content_len', 'title_bit_count', 'channel')","[0.5020775115336429, 0.0027274062831906154]"
"('Hour', 'link_count')","[0.5018895787555046, 0.010957274916608301]"
"('content_len', 'link_count', 'channel')","[0.5018208076050931, 0.00664407803003908]"
"('Day', 'Hour', 'content_len', 'link_count', 'title_bit_count')","[0.5017891723951019, 0.006291414679281236]"
"('Hour', 'img_count', 'link_count')","[0.5017767148733625, 0.00550854858412554]"
"('img_count', 'title_bit_count')","[0.5017601902465787, 0.007437334073425719]"
"('Year', 'Day', 'content_len', 'link_count', 'channel')","[0.5017100582156034, 0.0053316511457070755]"
"('Hour', 'content_len', 'title_bit_count')","[0.5017085133671646, 0.006627447951238936]"
"('Year', 'link_count', 'title_word_count')","[0.5016241371992793, 0.00338911967943139]"
"('Day', 'link_count')","[0.50161921105356, 0.005094695105796431]"
"('Hour', 'img_count', 'content_len', 'link_count', 'title_word_count')","[0.5016043129725027, 0.005286428945115288]"
"('Hour', 'content_len', 'link_count')","[0.5015787614778395, 0.005670866386148033]"
"('Day', 'content_len', 'link_count', 'title_bit_count')","[0.5015685433256513, 0.009929878625204695]"
"('Hour', 'img_count', 'link_count', 'title_word_count', 'channel')","[0.501550195661632, 0.004401153742151203]"
"('Year', 'content_len', 'title_bit_count', 'channel')","[0.501402305085081, 0.004365942479275056]"
"('img_count', 'content_len', 'link_count', 'title_word_count')","[0.5013981596254921, 0.006846156767741347]"
"('Year', 'Hour', 'img_count', 'link_count', 'title_word_count')","[0.5013652950197948, 0.004722001525549677]"
"('Hour', 'content_len')","[0.5011635622449748, 0.002396948045122256]"
"('Year', 'Day', 'Hour', 'content_len')","[0.5011538834156797, 0.004315789436745215]"
"('img_count', 'content_len', 'channel')","[0.5011409501598068, 0.00926536981368905]"
"('img_count', 'link_count', 'title_word_count')","[0.5011142001709075, 0.006572917369969077]"
"('Day', 'content_len')","[0.5010501888447811, 0.0034853265770634955]"
"('Day', 'link_count', 'title_bit_count', 'channel')","[0.5009880377102182, 0.00813038363243634]"
"('content_len',)","[0.5007655022788435, 0.008199925668737945]"
"('Day', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5007268378264946, 0.008976583222961864]"
"('Year', 'content_len', 'channel')","[0.500705533320559, 0.004080347649285121]"
"('Day', 'Hour', 'link_count')","[0.5006015746164096, 0.0073398509004224686]"
"('Year', 'Day', 'Hour', 'link_count', 'title_word_count')","[0.5004488532724443, 0.004174422038395948]"
"('content_len', 'title_word_count')","[0.5004463763559227, 0.007565370881919819]"
"('Hour', 'title_word_count', 'title_bit_count')","[0.5003408100811997, 0.00486213748173335]"
"('content_len', 'channel')","[0.5002889160342111, 0.0015072577190838486]"
"('content_len', 'link_count', 'title_word_count')","[0.5002837878760701, 0.008345386441477282]"
"('Year', 'content_len', 'title_word_count', 'channel')","[0.5001293386388148, 0.006242702010087052]"
"('Year', 'Day', 'link_count', 'title_word_count')","[0.5000052045535681, 0.0049871243084557695]"
"('content_len', 'link_count')","[0.49992924987102166, 0.002526047743690922]"
"('Day', 'Hour', 'title_bit_count')","[0.49984555691247196, 0.00716011194523896]"
"('Year', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.4997683113052657, 0.011355052633271811]"
"('Day', 'Hour', 'content_len', 'title_word_count', 'title_bit_count')","[0.4997226833727316, 0.00623293826870776]"
"('title_word_count', 'title_bit_count')","[0.49967357499870124, 0.005060664876004129]"
"('Hour', 'content_len', 'link_count', 'channel')","[0.4996188294474407, 0.007452024561038541]"
"('content_len', 'title_word_count', 'channel')","[0.49958710039741144, 0.005177835509685035]"
"('Year', 'img_count', 'content_len', 'link_count')","[0.4995492902499657, 0.0044374857578513135]"
"('Year', 'img_count', 'link_count', 'title_word_count')","[0.49935510771017133, 0.007979249389315579]"
"('Day', 'content_len', 'link_count', 'channel')","[0.49934323491154264, 0.005936367270260916]"
"('Day', 'Hour', 'content_len', 'title_bit_count')","[0.49922058549837545, 0.0032460390571072257]"
"('Day', 'Hour', 'content_len', 'title_word_count')","[0.49918657682578915, 0.003678038679873331]"
"('Year', 'content_len', 'link_count', 'channel')","[0.49912230404774915, 0.00497781582552932]"
"('Hour', 'link_count', 'title_word_count')","[0.4989102182759508, 0.006492740287046041]"
"('Month', 'Year', 'content_len')","[0.49883978470528667, 0.006050942225063032]"
"('Day', 'content_len', 'title_bit_count', 'channel')","[0.49876136388360576, 0.008685295009614995]"
"('Hour', 'content_len', 'link_count', 'title_word_count')","[0.49873202048083487, 0.00638838873702971]"
"('Day', 'Hour', 'content_len')","[0.4987247236296543, 0.0035938129882744944]"
"('Hour', 'link_count', 'title_word_count', 'channel')","[0.4987132061049765, 0.006330038746629126]"
"('Year', 'content_len')","[0.4985931621521155, 0.0078018693183702055]"
"('Year', 'content_len', 'link_count', 'title_bit_count')","[0.49847684522089397, 0.003062810048723573]"
"('img_count', 'content_len', 'link_count')","[0.4984641253248707, 0.0037810565839155276]"
"('content_len', 'title_bit_count', 'channel')","[0.49839266400659665, 0.004340411791399179]"
"('Hour', 'img_count', 'link_count', 'title_word_count')","[0.4982680902864022, 0.005386694948592717]"
"('Day', 'content_len', 'channel')","[0.49804680634916715, 0.01011712555799386]"
"('Hour', 'content_len', 'title_word_count')","[0.49803242848681173, 0.0075822040647538355]"
"('Day', 'content_len', 'link_count', 'title_word_count')","[0.49786306090208204, 0.004983422009088709]"
"('img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.4977715332194584, 0.004485699033898861]"
"('Year', 'Hour', 'link_count', 'title_word_count')","[0.49756273340401835, 0.004388278136393371]"
"('content_len', 'link_count', 'title_bit_count')","[0.4975215352163522, 0.007462529794603964]"
"('Year', 'Day', 'content_len', 'link_count', 'title_word_count')","[0.49748657897916776, 0.008625057566944629]"
"('img_count', 'title_word_count', 'title_bit_count')","[0.4974152815504156, 0.005016017894983512]"
